Zeit_ID,Jahr,Monat,Stunde,Wochentag
653,2018,4,21,Dienstag
654,2018,4,21,Mittwoch
655,2018,4,21,Donnerstag
656,2018,4,21,Freitag
657,2018,4,21,Samstag
658,2018,4,21,Sonntag
659,2018,4,22,Montag
660,2018,4,22,Dienstag
661,2018,4,22,Mittwoch
662,2018,4,22,Donnerstag
663,2018,4,22,Freitag
664,2018,4,22,Samstag
665,2018,4,22,Sonntag
666,2018,4,23,Montag
667,2018,4,23,Dienstag
668,2018,4,23,Mittwoch
669,2018,4,23,Donnerstag
670,2018,4,23,Freitag
671,2018,4,23,Samstag
672,2018,4,23,Sonntag
673,2018,5,0,Montag
674,2018,5,0,Dienstag
675,2018,5,0,Mittwoch
676,2018,5,0,Donnerstag
677,2018,5,0,Freitag
678,2018,5,0,Samstag
679,2018,5,0,Sonntag
680,2018,5,1,Montag
681,2018,5,1,Dienstag
682,2018,5,1,Mittwoch
683,2018,5,1,Donnerstag
684,2018,5,1,Freitag
685,2018,5,1,Samstag
686,2018,5,1,Sonntag
687,2018,5,2,Montag
688,2018,5,2,Dienstag
689,2018,5,2,Mittwoch
690,2018,5,2,Donnerstag
691,2018,5,2,Freitag
692,2018,5,2,Samstag
693,2018,5,2,Sonntag
694,2018,5,3,Montag
695,2018,5,3,Dienstag
696,2018,5,3,Mittwoch
697,2018,5,3,Donnerstag
698,2018,5,3,Freitag
699,2018,5,3,Samstag
700,2018,5,3,Sonntag
701,2018,5,4,Montag
702,2018,5,4,Dienstag
703,2018,5,4,Mittwoch
704,2018,5,4,Donnerstag
705,2018,5,4,Freitag
706,2018,5,4,Samstag
707,2018,5,4,Sonntag
708,2018,5,5,Montag
709,2018,5,5,Dienstag
710,2018,5,5,Mittwoch
711,2018,5,5,Donnerstag
712,2018,5,5,Freitag
713,2018,5,5,Samstag
714,2018,5,5,Sonntag
715,2018,5,6,Montag
716,2018,5,6,Dienstag
717,2018,5,6,Mittwoch
718,2018,5,6,Donnerstag
719,2018,5,6,Freitag
720,2018,5,6,Samstag
721,2018,5,6,Sonntag
722,2018,5,7,Montag
723,2018,5,7,Dienstag
724,2018,5,7,Mittwoch
725,2018,5,7,Donnerstag
726,2018,5,7,Freitag
727,2018,5,7,Samstag
728,2018,5,7,Sonntag
729,2018,5,8,Montag
730,2018,5,8,Dienstag
731,2018,5,8,Mittwoch
732,2018,5,8,Donnerstag
733,2018,5,8,Freitag
734,2018,5,8,Samstag
735,2018,5,8,Sonntag
736,2018,5,9,Montag
737,2018,5,9,Dienstag
738,2018,5,9,Mittwoch
739,2018,5,9,Donnerstag
740,2018,5,9,Freitag
741,2018,5,9,Samstag
742,2018,5,9,Sonntag
743,2018,5,10,Montag
744,2018,5,10,Dienstag
745,2018,5,10,Mittwoch
746,2018,5,10,Donnerstag
747,2018,5,10,Freitag
748,2018,5,10,Samstag
749,2018,5,10,Sonntag
750,2018,5,11,Montag
751,2018,5,11,Dienstag
752,2018,5,11,Mittwoch
753,2018,5,11,Donnerstag
754,2018,5,11,Freitag
755,2018,5,11,Samstag
756,2018,5,11,Sonntag
757,2018,5,12,Montag
758,2018,5,12,Dienstag
759,2018,5,12,Mittwoch
760,2018,5,12,Donnerstag
761,2018,5,12,Freitag
762,2018,5,12,Samstag
763,2018,5,12,Sonntag
764,2018,5,13,Montag
765,2018,5,13,Dienstag
766,2018,5,13,Mittwoch
767,2018,5,13,Donnerstag
768,2018,5,13,Freitag
769,2018,5,13,Samstag
770,2018,5,13,Sonntag
771,2018,5,14,Montag
772,2018,5,14,Dienstag
773,2018,5,14,Mittwoch
774,2018,5,14,Donnerstag
775,2018,5,14,Freitag
776,2018,5,14,Samstag
777,2018,5,14,Sonntag
778,2018,5,15,Montag
779,2018,5,15,Dienstag
780,2018,5,15,Mittwoch
781,2018,5,15,Donnerstag
782,2018,5,15,Freitag
783,2018,5,15,Samstag
784,2018,5,15,Sonntag
785,2018,5,16,Montag
786,2018,5,16,Dienstag
787,2018,5,16,Mittwoch
788,2018,5,16,Donnerstag
789,2018,5,16,Freitag
790,2018,5,16,Samstag
791,2018,5,16,Sonntag
792,2018,5,17,Montag
793,2018,5,17,Dienstag
794,2018,5,17,Mittwoch
795,2018,5,17,Donnerstag
796,2018,5,17,Freitag
797,2018,5,17,Samstag
798,2018,5,17,Sonntag
799,2018,5,18,Montag
800,2018,5,18,Dienstag
801,2018,5,18,Mittwoch
802,2018,5,18,Donnerstag
803,2018,5,18,Freitag
804,2018,5,18,Samstag
805,2018,5,18,Sonntag
806,2018,5,19,Montag
807,2018,5,19,Dienstag
808,2018,5,19,Mittwoch
809,2018,5,19,Donnerstag
810,2018,5,19,Freitag
811,2018,5,19,Samstag
812,2018,5,19,Sonntag
813,2018,5,20,Montag
814,2018,5,20,Dienstag
815,2018,5,20,Mittwoch
816,2018,5,20,Donnerstag
817,2018,5,20,Freitag
818,2018,5,20,Samstag
819,2018,5,20,Sonntag
820,2018,5,21,Montag
821,2018,5,21,Dienstag
822,2018,5,21,Mittwoch
823,2018,5,21,Donnerstag
824,2018,5,21,Freitag
825,2018,5,21,Samstag
826,2018,5,21,Sonntag
827,2018,5,22,Montag
828,2018,5,22,Dienstag
829,2018,5,22,Mittwoch
830,2018,5,22,Donnerstag
831,2018,5,22,Freitag
832,2018,5,22,Samstag
833,2018,5,22,Sonntag
834,2018,5,23,Montag
835,2018,5,23,Dienstag
836,2018,5,23,Mittwoch
837,2018,5,23,Donnerstag
838,2018,5,23,Freitag
839,2018,5,23,Samstag
840,2018,5,23,Sonntag
841,2018,6,0,Montag
842,2018,6,0,Dienstag
843,2018,6,0,Mittwoch
844,2018,6,0,Donnerstag
845,2018,6,0,Freitag
846,2018,6,0,Samstag
847,2018,6,0,Sonntag
848,2018,6,1,Montag
