Gefahrenbereich_ID,Unfall_ID_FK,Baustelle_ID_FK
567,7411,71
568,15899,71
569,20765,71
570,26241,71
571,27134,71
572,35649,71
573,35877,71
574,36182,71
575,36244,71
576,43996,71
577,46728,71
578,47139,71
579,47210,71
580,260,73
581,13903,73
582,27748,73
583,27826,73
584,28033,73
585,28402,73
586,45655,73
587,49791,73
588,38137,74
589,452,75
590,12059,75
591,14776,75
592,25482,75
593,330,76
594,1696,76
595,3483,76
596,3872,76
597,14238,76
598,15518,76
599,18782,76
600,19345,76
601,26074,76
602,28308,76
603,29401,76
604,31001,76
605,33692,76
606,41594,76
607,41597,76
608,17621,77
609,33049,77
610,36026,77
611,37181,77
612,43822,77
613,44887,77
614,8181,78
615,8851,78
616,38548,78
617,3699,79
618,7412,79
619,9241,79
620,10411,79
621,10482,79
622,10563,79
623,13477,79
624,15967,79
625,18754,79
626,22576,79
627,23961,79
628,26378,79
629,29756,79
630,33957,79
631,37328,79
632,40085,79
633,44019,79
634,44797,79
635,44998,79
636,47337,79
637,3534,80
638,4738,80
639,5633,80
640,6796,80
641,11380,80
642,11993,80
643,12173,80
644,16062,80
645,18942,80
646,24996,80
647,25231,80
648,28796,80
649,29182,80
650,29202,80
651,30450,80
652,36119,80
653,37602,80
654,37857,80
655,41266,80
656,42423,80
657,42739,80
658,47005,80
659,48155,80
660,9411,81
661,11143,81
662,11921,81
663,13236,81
664,19488,81
665,21152,81
666,29858,81
667,37091,81
668,37164,81
669,39067,81
670,39735,81
671,43172,81
672,44337,81
673,46631,81
674,47532,81
675,2262,82
676,10373,82
677,12320,82
678,16995,82
679,32162,82
680,45458,82
681,3119,84
682,3563,84
683,4510,84
684,17957,84
685,19412,84
686,20191,84
687,20520,84
688,21162,84
689,21906,84
690,22072,84
691,23845,84
692,24037,84
693,25447,84
694,25737,84
695,31576,84
696,32315,84
697,33550,84
698,33786,84
699,33862,84
700,34357,84
701,35042,84
702,38952,84
703,41826,84
704,42146,84
705,43368,84
706,45525,84
707,46191,84
708,46299,84
709,46844,84
710,47347,84
711,7042,85
712,17322,85
713,25255,85
714,43325,85
715,44726,85
716,17981,86
717,17709,87
718,19744,87
719,21044,87
720,25311,87
721,25967,87
722,26772,87
723,29115,87
724,38209,87
725,45376,87
726,20723,88
727,4017,89
728,4036,89
729,24655,89
730,29301,89
731,44401,89
732,46901,90
733,2968,91
734,7387,91
735,12379,91
736,17111,91
737,18583,91
738,19728,91
739,21866,91
740,24821,91
741,25172,91
742,29345,91
743,30433,91
744,30727,91
745,33110,91
746,36069,91
747,36279,91
748,36507,91
749,37456,91
750,38186,91
751,39448,91
752,40802,91
753,42932,91
754,45174,91
755,47529,91
756,9218,92
757,19702,92
758,47214,92
759,7409,93
760,8875,93
761,15814,93
762,18520,93
763,20683,93
764,24384,93
765,25457,93
766,31696,93
767,33494,93
768,36098,93
769,36254,93
770,41866,93
771,46642,93
772,46856,93
773,47719,93
774,48175,93
775,48991,94
776,261,95
777,1305,95
778,13750,95
779,13940,95
780,14144,95
781,14660,95
782,14754,95
783,15137,95
784,19558,95
785,48654,95
786,49061,95
787,49748,95
788,49911,95
789,49960,95
790,17030,96
791,36523,96
792,41046,96
793,47877,96
794,16968,97
795,2016,98
796,5055,98
797,6853,98
798,19836,98
799,21418,98
800,23342,98
801,30493,98
802,38015,98
803,38930,98
804,39416,98
805,48345,98
806,253,99
807,958,99
808,1150,99
809,1447,99
810,1543,99
811,1814,99
812,2133,99
813,2557,99
814,5414,99
815,6109,99
816,7359,99
817,10529,99
818,13054,99
819,13935,99
820,14738,99
821,14835,99
822,14864,99
823,15091,99
824,15446,99
825,20255,99
826,22918,99
827,24872,99
828,27175,99
829,27267,99
830,27636,99
831,27827,99
832,28207,99
833,28248,99
834,28352,99
835,28358,99
836,28597,99
837,38267,99
838,39237,99
839,46652,99
840,48547,99
841,48610,99
842,48778,99
843,48903,99
844,48946,99
845,49439,99
846,49799,99
847,49852,99
848,49997,99
849,50044,99
850,50071,99
851,50114,99
852,50115,99
853,8565,100
854,10899,100
855,34412,100
856,41180,100
857,42619,100
858,44350,100
859,47582,100
860,12503,101
861,13266,101
862,15212,101
863,20960,101
864,28279,101
865,44688,101
866,5805,102
867,16559,102
868,32634,102
869,36426,102
870,7402,103
871,8810,103
872,34571,103
873,44918,103
874,2883,104
875,5215,104
876,19065,104
877,2479,106
878,20672,106
879,40566,106
880,37627,107
881,39867,107
882,43543,107
883,3371,108
884,4444,108
885,8170,108
886,19553,108
887,23719,108
888,36202,108
889,38417,108
890,42497,108
891,45439,108
892,47824,108
893,13936,109
894,14826,109
895,27624,109
896,31069,109
897,7685,111
898,8410,111
899,10001,111
900,22557,111
901,23440,111
902,24900,111
903,33703,111
904,38296,111
905,40081,111
906,41178,111
907,48110,111
908,615,113
909,777,113
910,1662,113
911,1772,113
912,14370,113
913,15445,113
914,27355,113
915,27836,113
916,47184,113
917,49055,113
918,49180,113
919,49944,113
920,8986,114
921,10102,114
922,16160,114
923,18521,114
924,19429,114
925,20495,114
926,22231,114
927,22363,114
928,39076,114
929,41462,114
930,41829,114
931,42835,114
932,6408,115
933,6705,115
934,10488,115
935,18433,115
936,24962,115
937,25610,115
938,26386,115
939,41661,115
940,45341,115
941,45557,115
942,21749,116
943,26457,116
944,6194,117
945,9928,117
946,10945,117
947,16114,117
948,18175,117
949,21769,117
950,22756,117
951,25498,117
952,34744,117
953,37792,117
954,40444,117
955,45687,117
956,46840,117
957,2044,118
958,3705,118
959,4513,118
960,4677,118
961,6167,118
962,8094,118
963,8248,118
964,8887,118
965,10392,118
966,10909,118
967,16191,118
968,16592,118
969,17593,118
970,17885,118
971,18953,118
972,19993,118
973,21192,118
974,21209,118
975,25499,118
976,26505,118
977,26788,118
978,31127,118
979,31813,118
980,32910,118
981,37418,118
982,39285,118
983,43679,118
984,44734,118
985,45265,118
986,46694,118
987,47339,118
988,2283,119
989,4160,119
990,5870,119
991,10173,119
992,10367,119
993,32398,119
994,44774,119
995,45078,119
996,9037,120
997,9428,120
998,12707,120
999,17840,120
1000,25626,120
1001,30560,120
1002,30958,120
1003,36096,120
1004,43366,120
1005,43831,120
1006,4940,121
1007,20611,121
1008,14566,122
1009,15053,122
1010,15140,122
1011,27320,122
1012,32847,122
1013,49981,122
1014,9755,123
1015,16240,123
1016,17140,123
1017,38783,123
1018,46569,123
1019,30838,124
1020,41727,124
1021,17559,125
1022,19544,125
1023,30224,125
1024,37822,125
1025,600,126
1026,666,126
1027,1566,126
1028,1782,126
1029,14085,126
1030,14240,126
1031,14304,126
1032,14883,126
1033,27329,126
1034,27372,126
1035,28440,126
1036,33453,126
1037,38284,126
1038,46075,126
1039,48869,126
1040,48973,126
1041,373,127
1042,835,127
1043,1548,127
1044,13799,127
1045,14404,127
1046,15027,127
1047,15117,127
1048,15542,127
1049,27446,127
1050,48890,127
1051,49001,127
1052,2625,128
1053,5274,128
1054,6881,128
1055,7373,128
1056,17552,128
1057,18633,128
1058,20103,128
1059,22855,128
1060,22888,128
1061,25908,128
1062,29878,128
1063,31063,128
1064,39887,128
1065,40327,128
1066,45739,128
1067,2798,129
1068,12548,129
1069,19898,129
1070,21783,129
1071,21909,129
1072,24203,129
1073,25522,129
1074,29498,129
1075,32097,129
1076,40314,129
1077,43605,129
1078,46164,129
1079,38333,130
1080,18323,131
1081,35897,131
1082,19565,132
1083,19696,132
1084,20312,132
1085,29573,132
1086,484,133
1087,15152,133
1088,15382,133
1089,49348,133
1090,438,134
1091,704,134
1092,836,134
1093,1468,134
1094,9021,134
1095,15493,134
1096,27733,134
1097,27986,134
1098,28339,134
1099,28459,134
1100,32797,135
1101,3001,136
1102,3858,136
1103,6215,136
1104,7432,136
1105,9669,136
1106,11637,136
1107,19731,136
1108,25050,136
1109,26065,136
1110,31044,136
1111,34682,136
1112,35321,136
1113,37288,136
1114,37302,136
1115,38660,136
1116,38862,136
1117,40097,136
1118,40238,136
1119,43924,136
1120,44212,136
1121,45758,136
1122,46417,136
1123,48080,136
1124,1931,137
1125,2494,137
1126,4685,137
1127,5436,137
1128,6673,137
1129,8053,137
1130,11704,137
1131,11961,137
1132,12859,137
1133,15915,137
1134,16284,137
1135,16394,137
1136,16738,137
