,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNWD,TMAX,TMIN
5302,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-09,0.0,0.0,29.7,14.9
5303,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-10,0.0,0.0,29.4,15.9
5304,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-11,0.0,0.0,27.3,15.8
5305,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-12,0.0,0.0,26.9,13.1
5306,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-13,0.0,0.0,23.9,12.9
5307,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-14,2.3,0.0,20.3,10.1
5308,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-15,0.0,0.0,18.9,13.0
5309,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-16,0.0,0.0,20.5,13.7
5310,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-17,0.0,0.0,18.2,6.4
5311,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-18,0.0,0.0,19.6,6.0
5312,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-19,0.0,0.0,19.9,10.3
5313,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-20,0.0,0.0,19.2,8.6
5314,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-21,0.0,0.0,22.2,10.7
5315,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-22,0.0,0.0,20.8,12.3
5316,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-23,0.0,0.0,27.7,10.0
5317,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-24,0.0,0.0,30.7,13.3
5318,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-25,0.0,0.0,31.2,16.0
5319,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-26,0.0,0.0,29.1,18.5
5320,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-27,0.0,0.0,33.2,15.8
5321,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-28,0.0,0.0,33.5,18.5
5322,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-29,0.9,0.0,29.7,18.5
5323,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-30,0.0,0.0,27.6,14.1
5324,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-31,0.0,0.0,33.2,14.8
5325,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-08-01,0.0,0.0,30.0,17.3
